ITEM DESCRIPTION,CATEGORY,SUB-CATEGORY,UNIT,JANUARY_2021,FEBRUARY_2021,MARCH_2021,APRIL_2021,MAY_2021,JUNE_2021,JULY_2021,AUGUST_2021,SEPTEMBER_2021,OCTOBER_2021,NOVEMBER_2021,DECEMBER_2021,Rate per Month_2021,TOTAL_2021,JANUARY_2022,FEBRUARY_2022,MARCH_2022,APRIL_2022,MAY_2022,JUNE_2022,JULY_2022,AUGUST_2022,SEPTEMBER_2022,OCTOBER_2022,NOVEMBER_2022,DECEMBER_2022,Rate per Month_2022,TOTAL_2022,JANUARY_2023,FEBRUARY_2023,MARCH_2023,APRIL_2023,MAY_2023,JUNE_2023,JULY_2023,AUGUST_2023,SEPTEMBER_2023,OCTOBER_2023,NOVEMBER_2023,DECEMBER_2023,Rate per Month_2023,TOTAL_2023
18 - Reactive Protein (CRP) - 300t - Dt Slides - Vitros 250 79,Medical Items,Laboratory Test Kits,Kit,8,2,10,16,11,0,14,1,4,0,0,0,5.5,66,6,3,10,21,6,0,15,0,0,2,0,0,5.25,63,8,6,11,20,11,3,14,0,0,0,0,0,6.083333333,73
Ab Gel - Absorable Gelatine Sponge (Regular) 79,Medical Items,Medical Consumables,Box,8,6,10,1,14,16,4,3,3,3,0,1,5.75,69,4,7,15,0,10,12,0,0,2,1,1,0,4.333333333,52,5,6,15,5,10,13,0,0,0,0,0,0,4.5,54
Abdominal Sponge 30x30cm (10 Per Pkt) 79,Medical Items,Medical Consumables,Packet,4,0,4,0,0,0,0,4,1,0,0,2,1.25,15,3,0,0,0,0,0,0,0,1,0,0,3,0.583333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absorbent Pad - 20 x 20 cm 79,Medical Items,Medical Consumables,Numbers,0,0,2,4,2,0,0,2,3,0,0,0,1.083333333,13,4,0,0,0,0,1,0,0,1,4,0,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absorbent Paper Points - No 20 79,Medical Items,Dental Consumables,Packet,0,4,0,1,0,0,4,0,0,0,1,0,0.833333333,10,3,2,0,2,0,4,0,4,2,4,0,0,1.75,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absorbent Paper Points - No.15 79,Medical Items,Dental Consumables,Numbers,3,0,2,1,0,0,2,2,0,0,0,1,0.916666667,11,0,1,0,1,2,3,2,0,0,1,0,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenac 100mg 79,Medical Items,Pharmaceuticals,Tab,0,1,3,1,0,2,2,2,3,3,0,0,1.416666667,17,0,0,0,0,0,0,1,0,3,3,1,2,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetylcysteine 200 Mg/ Ml Inj 2ml (Mucomix) 79,Medical Items,Pharmaceuticals,Ampule,0,3,0,28,31,0,45,0,4,1,1,0,9.416666667,113,0,4,0,25,30,2,47,4,4,2,1,0,9.916666667,119,0,0,0,30,30,0,50,0,0,0,0,0,9.166666667,110
Acetylcysteine 400 Mg/ Ml Inj 4ml (Mucomix) 79,Medical Items,Pharmaceuticals,Ampule,0,0,6,2,2,0,35,4,3,0,0,4,4.666666667,56,0,3,12,0,2,3,40,0,0,0,0,0,5,60,0,0,10,0,0,0,40,0,0,0,0,0,4.166666667,50
Activated Partial Thromboplastin Time APTT (Actin) 79,Medical Items,Laboratory Test Kits,Kit,0,0,0,4,0,2,4,1,0,0,1,0,1,12,0,0,0,3,0,0,0,0,4,4,4,0,1.25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenosine Injection / Adenoject 3mg/Ml Inj 2ml 79,Medical Items,Pharmaceuticals,Vial,0,0,2,2,0,0,0,3,0,4,0,0,0.916666667,11,0,0,0,0,2,0,3,1,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adhesive Tape, Cello Tape  (Ordinary) - 1"" 79",General Items,Stationary,Roll,0,12,14,12,19,15,12,0,4,0,0,0,7.333333333,88,8,13,17,19,10,18,14,2,0,0,0,0,8.416666667,101,4,12,17,17,15,14,12,0,0,0,0,0,7.583333333,91
"Adhesive Tape, Cello Tape (Ordinary) - 2"" 79",General Items,Stationary,Roll,10,2,23,13,2,12,0,3,0,0,1,0,5.5,66,8,4,28,17,3,5,1,0,0,0,0,0,5.5,66,9,0,24,15,7,10,2,0,0,0,0,0,5.583333333,67
Admission Advice - A5 79,General Items,Printed Items,Pad,0,0,2,0,1,0,0,0,0,0,0,3,0.5,6,0,0,3,0,5,0,0,3,1,3,0,3,1.5,18,1,1,0,1,1,0,0,0,0,0,0,0,0.333333333,4
Adrenaline Tetrate Injection - 1ml 79,Medical Items,Pharmaceuticals,Ampule,22,35,97,208,148,182,145,0,4,1,0,1,70.25,843,23,31,92,210,148,181,146,0,3,0,0,0,69.5,834,25,36,96,206,149,183,147,0,0,0,0,0,70.16666667,842
"Aerosal Mask - Adult , For Ultrasonic Nebulizer 79",Medical Items,Medical Consumables,Numbers,458,144,496,458,387,421,322,0,0,0,0,3,224.0833333,2689,464,140,498,464,384,418,324,0,0,0,0,4,224.6666667,2696,460,143,500,460,385,420,327,0,0,0,0,0,224.5833333,2695
"Aerosal Mask - Child , For Ultrasonic Nebulizer 79",Medical Items,Medical Consumables,Numbers,287,199,336,259,197,235,165,2,0,1,0,0,140.0833333,1681,287,196,336,262,195,243,160,0,4,0,0,0,140.25,1683,285,200,340,261,200,240,165,0,0,0,0,0,140.9166667,1691
Air Freshener Refill - Stella 79,General Items,General Items,Bottle,16,8,0,25,3,6,13,0,0,4,0,4,6.583333333,79,20,2,0,22,2,3,8,0,0,1,0,0,4.833333333,58,19,5,0,21,1,4,9,0,0,0,0,0,4.916666667,59
Air Freshner - Spray 79,General Items,General Items,Bottle,77,45,53,38,70,16,31,0,0,1,3,0,27.83333333,334,85,49,60,29,71,15,33,0,0,0,0,0,28.5,342,81,48,57,34,70,19,34,0,0,0,0,0,28.58333333,343
Air Freshner - Toilet 79,General Items,General Items,Numbers,27,4,10,2,4,5,17,0,0,0,0,0,5.75,69,20,5,10,6,12,6,12,4,1,3,0,2,6.75,81,23,4,8,4,9,8,15,0,0,0,0,0,5.916666667,71
Albumin - (Alb) - 90t - Dt Slides - Code 1968211 - Vitros 250 79,Medical Items,Laboratory Test Kits,Kit,7,0,4,5,10,8,13,1,2,0,1,4,4.583333333,55,11,0,2,10,15,0,16,1,0,0,2,0,4.75,57,8,0,0,9,11,4,14,0,0,0,0,0,3.833333333,46
Albumin - Vitros - 5 Pk/250 Slides 79,Medical Items,Laboratory Test Kits,Kit,6,6,8,5,0,0,4,0,0,0,0,3,2.666666667,32,0,6,7,8,0,0,3,0,0,0,0,3,2.25,27,3,7,11,4,0,0,0,0,0,0,0,0,2.083333333,25
Alcaine 0.5% Eye Drops 15ml 79,Medical Items,Pharmaceuticals,Bottle,1,4,0,2,0,2,2,0,0,1,0,0,1,12,0,0,3,0,2,0,1,3,0,4,1,0,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algicell Ag Silver Impreg 4x5 79,Medical Items,Medical Consumables,Numbers,0,0,0,1,0,0,0,0,2,0,0,0,0.25,3,0,3,0,0,0,1,0,0,0,1,3,2,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkaline Phosphatase (Alkp) - 300t - Dt Slides - Code 1053180 - Vitros 250 79,Medical Items,Laboratory Test Kits,Kit,14,7,11,7,2,0,12,2,2,0,0,4,5.083333333,61,6,0,7,9,2,4,11,3,0,4,3,0,4.083333333,49,10,5,10,12,6,2,10,0,0,0,0,0,4.583333333,55
Alt - 300t - Vitros 250 - 1655281 79,Medical Items,Laboratory Test Kits,Kit,7,2,9,7,6,6,14,4,0,4,0,4,5.25,63,6,2,8,14,5,0,7,0,0,0,0,0,3.5,42,10,6,10,12,10,3,10,0,0,0,0,0,5.083333333,61
"Ambu Bag - Resuscitator, Adult With Mask 79",Medical Items,Medical Consumables,Numbers,1,1,0,5,0,1,1,0,4,0,4,1,1.5,18,3,0,0,0,2,1,6,0,0,2,1,3,1.5,18,0,0,2,1,0,0,2,0,0,0,0,0,0.416666667,5
"Ambu Bag - Resuscitator, Child/Infant With Mask 79",Medical Items,Medical Consumables,Numbers,1,0,6,0,1,0,0,2,3,2,0,3,1.5,18,0,0,0,5,4,0,0,3,0,0,0,0,1,12,0,0,2,1,0,0,0,0,0,0,0,0,0.25,3
"Ambu Bag - Resuscitator, Paediatric, With Mask - 500ml 79",Medical Items,Medical Consumables,Numbers,3,0,0,0,0,0,1,2,0,3,3,0,1,12,0,0,4,4,0,0,0,0,0,0,3,0,0.916666667,11,0,0,0,1,0,0,2,0,0,0,0,0,0.25,3
Amika Pump Set Bag 79,Medical Items,Pharmaceuticals,Numbers,0,0,0,1,0,2,1,0,0,2,0,0,0.5,6,0,1,0,0,0,3,0,0,0,3,0,0,0.583333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amikacin 250mg Injection 79,Medical Items,Pharmaceuticals,Numbers,120,1,0,0,0,0,4,0,0,0,1,0,10.5,126,118,2,0,4,1,0,3,4,2,2,2,0,11.5,138,118,0,0,0,0,0,0,0,0,0,0,0,9.833333333,118
HP Laser Toner 166A - For HP Laser 108W 79,General Items,"Toners, Cartridges & Drums",Numbers,0,3,0,0,0,4,0,3,0,0,4,2,1.333333333,16,4,3,0,3,0,0,0,4,0,0,1,3,1.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aminophylline Injection - 25mg/Ml Inj 10ml 79,Medical Items,Pharmaceuticals,Ampule,14,1,4,8,11,2,0,1,0,1,0,1,3.583333333,43,8,0,0,10,12,0,0,0,1,0,2,0,2.75,33,11,0,0,10,13,0,0,0,0,0,0,0,2.833333333,34
Amiodarone Concentrate Bp - 3ml - Duron Injection 79,Medical Items,Pharmaceuticals,Vial,74,32,0,20,16,9,0,1,1,0,0,0,12.75,153,69,33,0,17,18,10,0,1,1,2,0,0,12.58333333,151,71,34,0,20,16,10,0,0,0,0,0,0,12.58333333,151
Amlodipine 10mg (Stamlo) 79,Medical Items,Pharmaceuticals,Tab,2,1,0,0,2,18,0,0,2,0,4,0,2.416666667,29,0,0,0,0,4,21,0,0,0,2,4,1,2.666666667,32,0,0,0,0,0,20,0,0,0,0,0,0,1.666666667,20
Amlodipine 5mg (Stamlo) 79,Medical Items,Pharmaceuticals,Tab,13,0,3,4,0,4,0,0,0,1,0,0,2.083333333,25,15,0,0,4,0,0,2,0,0,0,4,1,2.166666667,26,15,0,0,0,0,0,0,0,0,0,0,0,1.25,15
Amoxyclav SD063-5X50DS 79,Medical Items,Laboratory Consumables,Box,1,2,0,3,1,0,1,1,0,0,0,2,0.916666667,11,2,3,0,0,4,0,0,0,0,4,0,0,1.083333333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ampicillin 10mcg 79,Medical Items,Laboratory Test Kits,Kit,0,4,2,0,0,0,3,2,3,0,1,4,1.583333333,19,0,1,0,1,0,0,0,0,3,0,0,0,0.416666667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ampicillin 25mcg 79,Medical Items,Laboratory Test Kits,Kit,4,0,0,0,0,0,0,0,0,0,0,2,0.5,6,0,0,4,2,0,4,0,3,0,1,0,3,1.416666667,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amylase (Amyl) - 90T - Dt Slides - Vitros 79,Medical Items,Laboratory Test Kits,Kit,0,3,3,0,6,0,5,1,1,0,0,3,1.833333333,22,1,0,2,0,0,0,3,2,0,0,0,3,0.916666667,11,2,1,2,2,2,0,2,0,0,0,0,0,0.916666667,11
Anesthesia Consent (H-65) Dhivehi - A4 79,General Items,Printed Items,Pad,0,0,4,4,4,3,2,0,0,2,0,0,1.583333333,19,0,2,2,0,0,4,0,1,0,1,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anesthesia Consent (H-65) English - A4 79,General Items,Printed Items,Pad,0,3,0,3,3,0,0,0,2,0,4,3,1.5,18,0,2,5,0,2,2,1,0,1,0,0,0,1.083333333,13,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333,1
Anesthetic Fitness Form - A4 79,General Items,Printed Items,Pad,8,0,4,12,1,0,2,2,0,1,1,2,2.75,33,7,1,0,8,1,0,0,0,2,3,0,0,1.833333333,22,10,0,1,10,0,0,0,0,0,0,0,0,1.75,21
"Anti - A Serum, Monoclonal, 10ml - Lorne 79",Medical Items,Laboratory Test Kits,Bottle,0,0,11,7,8,0,1,0,2,0,0,0,2.416666667,29,3,0,3,1,8,3,4,0,0,4,0,2,2.333333333,28,0,0,7,6,5,0,3,0,0,0,0,0,1.75,21
"Anti - Ab - Murine Monoclonal Blend, 10ml - Lorne 79",Medical Items,Laboratory Test Kits,Bottle,0,0,0,5,0,3,5,0,0,0,0,0,1.083333333,13,0,0,1,4,0,0,0,0,3,2,4,4,1.5,18,2,0,2,4,2,0,4,0,0,0,0,0,1.166666667,14
"Anti - B Serum, Monoclonal, 10ml - Lorne 79",Medical Items,Laboratory Test Kits,Bottle,1,0,5,8,8,0,1,4,0,0,0,1,2.333333333,28,3,0,0,2,11,2,2,0,0,0,0,3,1.916666667,23,3,1,4,7,7,0,0,0,0,0,0,0,1.833333333,22
"Anti - D Igm & Igg, Duoclonal, 10ml - Lorne 79",Medical Items,Laboratory Test Kits,Bottle,10,3,8,15,6,1,10,0,4,0,0,0,4.75,57,14,6,0,16,7,6,8,3,0,0,0,0,5,60,11,2,4,18,10,2,9,0,0,0,0,0,4.666666667,56
Anti - Human Serum For Coombs Test (10ml) 79,Medical Items,Laboratory Test Kits,Kit,0,0,2,0,2,0,0,0,0,4,2,0,0.833333333,10,0,0,0,0,3,1,0,0,0,0,0,0,0.333333333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
